Show Foods,2024-05-08 13:50:27
Add Food,2024-05-08 13:50:30
Show Drinks,2024-05-08 13:50:39
Exit,2024-05-08 13:50:40
Show Foods,2024-05-08 17:18:56
Show Users,2024-05-08 17:18:59
Add User,2024-05-08 17:19:00
Show Users,2024-05-08 17:20:53
Add User,2024-05-08 17:20:57
Add User,2024-05-08 17:23:18
Add User,2024-05-08 17:24:28
Add User,2024-05-08 17:26:07
Show Foods,2024-05-08 17:46:40
Add User,2024-05-08 17:46:46
Add User,2024-05-08 17:47:45
Add User,2024-05-08 17:53:15
Show Users,2024-05-08 19:51:42
Add User,2024-05-08 19:51:43
Add User,2024-05-08 19:52:47
Add User,2024-05-08 19:56:17
Add User,2024-05-08 20:08:40
Show Users,2024-05-08 20:08:58
Show Users,2024-05-08 20:11:29
Add User,2024-05-08 20:11:32
Show Users,2024-05-08 20:12:27
Add User,2024-05-08 20:12:29
Show Users,2024-05-08 20:12:50
Show Users,2024-05-08 20:12:59
View Placed Orders,2024-05-08 20:13:04
Place Order,2024-05-08 20:13:07
View Placed Orders,2024-05-08 20:13:15
View Placed Orders,2024-05-08 20:13:24
Show Users,2024-05-08 20:16:07
Add User,2024-05-08 20:16:07
Show Users,2024-05-08 20:16:45
Show Users,2024-05-08 20:19:35
Show Users,2024-05-08 20:21:27
Show Foods,2024-05-09 10:52:45
Show Foods,2024-05-09 10:52:51
Show Drinks,2024-05-09 10:53:04
Add Drink,2024-05-09 10:53:07
Show Drinks,2024-05-09 10:53:15
Show Users,2024-05-09 10:53:29
Show Users,2024-05-09 10:54:31
View Placed Orders,2024-05-09 10:54:45
Place Order,2024-05-09 10:54:47
View Placed Orders,2024-05-09 10:54:57
Process Order,2024-05-09 10:54:59
Show Foods,2024-05-09 11:15:14
Show Drinks,2024-05-09 11:15:16
Show Users,2024-05-09 11:15:18
Update Profile,2024-05-09 11:15:25
Update Profile,2024-05-09 11:19:53
Update Profile,2024-05-09 11:20:09
Show Users,2024-05-09 11:20:18
Update Profile,2024-05-09 11:20:22
Update Profile,2024-05-09 11:22:48
Show Users,2024-05-09 11:23:15
Update Profile,2024-05-09 11:23:20
Update Profile,2024-05-09 11:23:31
Show Users,2024-05-09 11:23:41
Update Profile,2024-05-09 11:23:45
Update Profile,2024-05-09 11:23:54
Update Profile,2024-05-09 11:24:01
Update Profile,2024-05-09 11:25:07
Add Review,2024-05-09 11:28:18
Add Review,2024-05-09 11:29:50
Add Review,2024-05-09 11:30:22
Update Profile,2024-05-09 11:31:23
